,Player_Name,Height,Weight,Age,Preferred_foot,overall_score,potential_score,Ball_Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping,Weekly_Wage,Market_Value
127,Idrissa Gueye,174,66,31,Right,84,84,77.5,85.67,82,72.67,76.86,58,9.4,105000,35500000
128,Jesús Corona,173,62,27,Right,84,84,87.5,76.67,79.8,77,76.57,70.5,10,25000,45000000
129,Iago Aspas,176,67,33,Left,84,84,86.5,26,71,75.67,73.86,81.25,12.4,45000,34000000
130,Douglas Costa,172,70,30,Left,84,84,91.5,39,67.4,76.67,79.29,74.38,10.8,120000,41500000
131,Roman Bürki,187,85,29,Right,84,85,17.5,13.33,40.6,25.33,54.43,18.88,81.8,65000,32500000
132,Azpilicueta,178,77,31,Right,84,84,72,85,79.4,79.67,71.86,61.5,8.6,120000,36500000
133,Rui Patrício,190,84,32,Left,84,84,22.5,12.67,43.6,26,60.29,20.75,81.2,90000,21000000
134,Axel Witsel,186,81,31,Right,84,84,81,81,81.8,81.33,72.14,74.25,7.2,80000,29500000
135,Lucas Leiva,179,78,33,Right,84,84,78,82.33,80.8,75.33,68.57,64.75,7.4,85000,21000000
136,Salvatore Sirigu,192,80,33,Right,84,84,16.5,12.67,41,21.33,53.57,18.12,81.2,55000,13500000
137,Kasper Schmeichel,189,89,33,Right,84,84,26,13.67,43.2,36,53,21.62,82,90000,13500000
138,Jesús Navas,172,60,34,Right,84,84,83.5,79.67,80.8,79.67,75,68.12,11,42000,15500000
139,Fernandinho,179,67,35,Right,84,84,79,85.67,83,78.33,72.29,71.75,9.6,110000,11000000
140,Federico Valverde,182,78,22,Right,83,90,80.5,78.33,80.8,78.33,79,69.38,9,135000,73500000
141,Achraf Hakimi,181,73,21,Right,83,88,83.5,72.33,77,78,84.43,63.12,9.2,90000,56000000
142,Ousmane Dembélé,178,67,23,Left,83,89,86.5,35,65,78.33,76.43,71.75,9.8,175000,57500000
143,Gabriel Jesus,175,73,23,Right,83,87,86,37,72,69.67,80.71,75.12,9.6,150000,52500000
144,Ronaldo Cabrais,177,75,28,Right,83,83,84,30.67,69.8,82.67,80,76.88,13,49000,36500000
145,Aaron Wan-Bissaka,183,72,22,Right,83,88,79.5,85.67,77.6,68,77.86,53.75,7.8,115000,52000000
146,Denis Zakaria,190,80,23,Right,83,87,79,82.67,80.6,75.67,78.14,56.62,11,45000,47500000
147,Ferland Mendy,180,73,25,Left,83,88,79,79.33,80.2,78.67,85.43,59.25,10.2,160000,49500000
148,Nélson Semedo,177,69,26,Right,83,86,81.5,79.33,79,72.33,85,51.62,12.8,100000,43500000
149,Steven Bergwijn,178,78,22,Right,83,88,86,35.33,63.6,74.67,82.43,73.88,12.8,105000,56000000
150,Joe Gomez,188,77,23,Right,83,88,70,83.33,74.6,70.67,78.14,35.88,9.8,95000,49500000
151,Marcos Acuña,172,69,28,Left,83,83,87,80,82.6,82,78.57,74.12,12.4,40000,33000000
152,Martin Ødegaard,178,68,21,Left,83,89,85.5,55,71.2,82.67,71.14,72.5,12.4,135000,58500000
153,Donny van de Beek,184,74,23,Right,83,87,80.5,71.33,80.4,76,74.57,74.62,10.2,125000,52000000
154,Pau López,189,77,25,Left,83,88,17,16.67,42.2,34.33,53,24.62,82,50000,42500000
155,Martin Dúbravka,190,80,31,Right,83,83,27,16,40.2,35,53.14,19.88,81.6,46000,19000000
156,Diego Carlos,185,86,27,Right,83,85,68,82,75.6,61.67,75.29,54.25,9.8,38000,38500000
157,Nabil Fekir,173,75,27,Left,83,84,87.5,35.33,72.8,80,79,76.38,12.2,38000,43000000
158,Rafa,172,66,27,Right,83,83,86.5,46,70.4,72.33,78.71,65.88,10.2,22500,38500000
159,Duván Zapata,189,88,29,Right,83,83,80,32.67,68.4,55.33,76,72.25,8,85000,36500000
160,Thomas Strakosha,193,78,25,Right,83,88,14.5,16.67,40.2,22,46.43,19.62,81.8,55000,42500000
161,Gayà,172,66,25,Left,83,88,80.5,81.67,78.4,79.33,76,59.88,10.6,46000,49500000
162,Dele Alli,188,80,24,Right,83,87,84.5,67.67,82,77.33,74.43,77.25,8.2,105000,52000000
163,João Cancelo,182,74,26,Right,83,86,84.5,79.33,78,79.67,79.43,66.62,11.6,140000,43500000
164,Alessio Romagnoli,188,78,25,Left,83,87,72,85.33,71.6,60.67,70.57,42.5,10.4,50000,45500000
165,Filip Kostić,184,82,27,Left,83,83,84,69.67,76.2,79,82.14,73.5,12.8,45000,38500000
166,Gerard Moreno,180,77,28,Left,83,83,81.5,42,70.2,76.67,74.86,77.75,11.2,55000,37000000
167,Mateo Kovačić,176,80,26,Right,83,86,88.5,69.67,77.2,81.67,75.14,67.62,6.8,120000,47000000
168,Edin Višća,172,63,30,Right,83,83,81,45,68.2,78.67,81.71,71.38,12.8,60000,35000000
169,Samuel Umtiti,182,75,26,Left,83,86,70.5,83.33,75.8,70.67,71.43,67.88,13.2,170000,42000000
170,Jorginho,180,68,28,Right,83,83,82,71.67,77.4,84,63.14,70.25,11.2,125000,36500000
171,Portu,167,66,28,Right,83,83,82.5,58.33,73.8,80.67,84,73.12,13.4,50000,36500000
172,Juan Bernat,170,67,27,Left,83,84,83,78,78.6,80,77.43,61.38,11.2,95000,38000000
173,Marcel Sabitzer,178,76,26,Right,83,85,80.5,64,78,78.67,79,77.12,13.2,75000,44500000
174,Thorgan Hazard,175,71,27,Right,83,83,85,50,72.2,78.67,77.86,74.38,7.4,80000,38500000
175,Lucas Moura,174,70,28,Right,83,83,86.5,39.33,73,72.33,84.29,73,10.8,120000,38500000
176,Allan,175,74,29,Right,83,83,82.5,87,86,77.67,76.86,62.25,8.8,115000,35500000
177,Francesco Acerbi,192,88,32,Left,83,83,68.5,86.33,70.6,59.67,65,60.38,10.6,75000,23500000
178,Sergi Roberto,178,68,28,Right,83,83,80,77.33,74.4,81.67,73,63.88,13.2,175000,33000000
179,Anthony Lopes,184,81,30,Left,83,84,18,13.67,45,27.33,63.43,20.75,81,70000,28000000
180,Dušan Tadić,181,76,31,Left,83,83,85.5,36,68.6,83,71.86,78.25,12.2,29500,30500000
181,Charles Aránguiz,171,70,31,Right,83,83,81,77.33,81.8,82.33,67,71.12,11,80000,25500000
182,Wilfried Zaha,180,66,27,Right,83,83,88,32,67,72,80.14,65.62,12.2,80000,38500000
183,Joel Matip,194,90,29,Right,83,84,70.5,83.67,76.2,68.33,64.43,51.38,10.6,115000,34500000
184,Aitor,182,78,29,Right,83,83,18,13,38.4,34.33,54.86,23.38,80.6,31000,25000000
185,Alexandre Lacazette,176,77,29,Right,83,83,84.5,40.67,73,72.33,76.71,78.25,7.4,125000,36500000
186,Koen Casteels,197,86,28,Left,83,85,18.5,15.67,37.2,29,50.43,21.62,82,55000,31000000
187,Kostas Manolas,189,83,29,Right,83,84,59.5,85.67,72.2,49.33,77.43,29.88,9.8,85000,33500000
188,Lukáš Hrádecký,192,82,30,Right,83,83,15,11,37.6,24.67,46.14,17.88,80.4,65000,24000000
189,Muniain,170,66,27,Right,83,83,86.5,50.33,70.6,77.67,75.86,68.62,9,41000,38500000
190,Coutinho,172,68,28,Right,83,83,89,52,69.6,79.67,69.86,77,9.6,190000,36500000
191,Kevin Trapp,189,88,30,Right,83,83,17,13,41.6,16.67,54.14,18.88,81.4,35000,25000000
192,Oscar,179,66,29,Right,83,83,82,58,69.2,84,76,74.5,12.2,24500,36500000
193,Paulinho,183,80,32,Right,83,83,82.5,78,81.6,75,81,77.38,11.4,23500,30000000
194,İlkay Gündoğan,180,80,29,Right,83,83,86,72,79.4,83.67,68.29,73.25,9.6,160000,35500000
195,Kieran Trippier,173,71,30,Right,83,83,78.5,80.33,76,81.67,74.71,69.88,10.8,70000,32000000
196,Fernando,183,76,33,Right,83,83,74.5,82.33,77.6,74.33,71.29,62.5,5.8,38000,24000000
197,Yuri Berchiche,181,80,30,Left,83,83,76,79,77.4,78.67,83,68.12,10.6,35000,31500000
198,Arturo Vidal,180,75,33,Right,83,83,79,83,84.8,79,74.86,78,3.2,125000,22500000
199,Edin Džeko,193,80,34,Right,83,83,80.5,34,72.6,70.67,61.14,74.88,12.6,80000,17500000
200,Éver Banega,174,71,32,Right,83,83,83.5,77.67,79.6,83,65.57,73.75,9,55000,28500000
201,Radja Nainggolan,176,65,32,Right,83,83,83.5,86.33,85.4,80,76.29,73.5,11,125000,29000000
202,Marcelo,174,75,32,Left,83,83,90,75.67,81,80.67,78.29,71.25,7.2,170000,25000000
203,Gareth Bale,185,82,31,Left,83,83,81.5,53.67,74.2,82,79.57,85,10.4,200000,35000000
204,Jan Vertonghen,189,86,33,Left,83,83,73.5,85.67,77.6,73.33,67.29,66.5,8.8,20500,17500000
205,Blaise Matuidi,180,75,33,Left,83,83,76.5,84.33,80.8,77,78.14,64.12,9.6,14000,18000000
206,Carlos Vela,177,77,31,Left,83,83,84.5,22.33,68.8,75,75.29,77.62,10.6,16500,30000000
207,Renato Augusto,186,86,32,Right,83,83,81.5,70.67,76.2,81,71.29,77.88,11.2,23500,28500000
208,Gonzalo Higuaín,186,89,32,Right,83,83,81.5,25,65.8,67.67,68.86,77.62,7.8,16500,29500000
209,Steve Mandanda,185,82,35,Right,83,83,23,13.67,43.4,32,48.71,17.62,81,28000,4000000
210,João Moutinho,170,61,34,Right,83,83,84,71,77,86,65.29,76.25,13.8,110000,22500000
211,Zlatan Ibrahimović,195,95,38,Right,83,83,83,29.67,73.4,73,57.71,84.88,11.8,49000,12500000
212,Reguilón,178,68,23,Left,82,89,79.5,78.33,75.4,75,77,56.12,10.2,85000,58000000
213,Jiří Pavlenka,196,81,28,Right,82,83,15.5,12,33.6,18.67,37.14,19.88,78.2,32000,24000000
214,Josué Chiamulera,185,80,28,Right,82,82,63,84.67,73.2,58.33,73.57,51.12,13.8,41000,26500000
215,Raphaelito Anjos,190,85,32,Right,82,82,15,16.67,46.6,14.67,48.71,16.62,80.2,32000,15000000
216,Fabián,189,70,24,Left,82,88,85,74.33,77.4,78,63,71.5,12,70000,48000000
217,Giovani Lo Celso,177,68,24,Left,82,87,85.5,65.33,78,81.33,74.14,73.25,11.2,95000,46000000
218,Marcos Llorente,184,74,25,Right,82,85,82.5,77.67,82.6,79.67,79.57,68.38,10.2,65000,40000000
219,Nicolas Pépé,183,73,25,Left,82,85,83,29.33,62.2,73,80.29,75.5,10,100000,40500000
220,Konrad Laimer,180,72,23,Right,82,86,79,79,79.6,80.33,80,63.62,11.6,55000,40000000
221,Rúben Neves,180,80,23,Right,82,87,79,71.67,77.2,83.67,66.43,77,11.2,90000,46000000
222,David Soria,192,85,27,Right,82,84,17.5,16,38.4,24,48.29,23.88,80.2,30000,28000000
223,Robin Gosens,183,76,26,Left,82,82,78.5,77.33,80,79.67,81,68.5,12.8,70000,34000000
224,Marco Asensio,182,76,24,Left,82,86,85,40.33,66,80.67,72.57,75.38,10,160000,43500000
225,Lucas Hernández,182,76,24,Left,82,87,72,83.67,78.4,73.33,76.57,54.25,9.8,70000,41500000
226,Dakonam Djené,178,72,28,Right,82,83,60.5,84.33,75.4,68,73.86,45.25,9.8,39000,29000000
227,Andrej Kramarić,177,73,29,Right,82,82,85.5,27,68.8,69.33,72.29,81.38,11.6,55000,30500000
228,Mike Maignan,191,91,25,Right,82,86,23,15,38,27,54.71,21.62,81.4,31000,34500000
229,Gerónimo Rulli,189,84,28,Right,82,85,14.5,15,39.2,22.33,55.71,22.62,81.2,35000,28000000
230,Ángel Correa,171,70,25,Right,82,85,87,51.67,73.4,72,75.57,74.12,11.2,65000,40500000
231,Anderson Talisca,190,80,26,Left,82,85,83,49.33,72,80.33,76.14,81.5,11.8,21500,40000000
232,Marcel Halstenberg,188,87,29,Left,82,82,73,80,74.4,74.33,72.43,71.62,12.8,65000,27500000
233,Pacheco,186,81,28,Left,82,84,14,15.67,41.8,23.67,53.71,21.25,79.6,28000,26000000
234,Quincy Promes,174,72,28,Right,82,82,82,44.67,71.2,77.67,81.43,75.25,9.8,25500,30500000
235,Yannick Carrasco,181,72,27,Right,82,82,84,35.33,63.6,75,78.43,76.25,9.8,65000,33500000
236,Emre Can,186,86,26,Right,82,84,80.5,82.67,82.8,79.33,80.57,74.38,10.8,70000,37500000
237,Matthias Ginter,191,86,26,Right,82,83,67.5,83,73.4,72.33,65.86,58.12,9.2,48000,31500000
238,Kepa,186,88,25,Right,82,86,21.5,17.67,38,42.67,42.57,24.12,81.8,75000,33500000
239,Lucas Ocampos,188,84,26,Right,82,83,84,58,81,77,80.29,78.75,10.6,40000,36500000
240,Florian Thauvin,179,70,27,Left,82,82,83,35.33,69,80.33,77,77.88,10.4,60000,32500000
241,Tomáš Vaclík,188,85,31,Right,82,82,17,18.67,41.2,23.33,50,20.62,80,28500,16000000
242,Nick Pope,200,76,28,Right,82,83,19.5,14.33,41.4,26,52.57,19.62,80.4,60000,24000000
243,Harry Maguire,194,100,27,Right,82,85,73.5,81,78.6,70.33,65.43,54.38,12.4,120000,34500000
244,Karim Bellarabi,184,81,30,Right,82,82,85,31.67,69.6,71.67,81.14,68,10,80000,29500000
245,Gabriel Paulista,185,72,29,Right,82,83,64.5,82.67,75,73.67,73.57,54.5,11.6,46000,28000000
246,Morata,190,84,27,Right,82,83,83,23.67,67.4,67.33,78.14,74.5,4.4,100000,35500000
247,Agustín Marchesín,188,85,32,Right,82,82,22,17.33,44.8,29.67,55.86,19.25,80.6,15500,15000000
248,Danilo Pereira,188,83,29,Right,82,82,76.5,78,78.6,73.67,70.57,61.75,11.6,20000,27000000
249,James Rodríguez,180,75,29,Left,82,82,88,45.67,73.2,84.67,58.57,83.75,12.8,105000,30500000
250,Rodrigo,182,77,29,Left,82,82,81.5,41.67,69,72,81,77.75,9.2,140000,30500000
